num_sub = 0
num_col = 0
num_theta = 0
num_phi = 0
data_dir = 
data_dir = /home/lendle/dev/projects/1101/jzy3d_test/n2ftools/results_16379336673420/
status_dir = [](0x0)
cmd = grep -n "0 0" /home/lendle/dev/projects/1101/jzy3d_test/n2ftools/results_16379336673420/0.ap | cut -f1 -d:
data dir=, num_sub = 41415, num_col= 41425
data dir=, num_sub = 41475, num_col= 41485
data dir=, num_sub = 41505, num_col= 41566
data dir=, num_sub = 41586, num_col= 41626
data dir=, num_sub = 41646, num_col= 41656
data dir=, num_sub = 41676, num_col= 41686
data dir=, num_sub = 41726, num_col= 41736
data dir=, num_sub = 41776, num_col= 41786
data dir=, num_sub = 41836, num_col= 41846
data dir=, num_sub = 41866, num_col= 41927
data dir=, num_sub = 41947, num_col= 41987
data dir=, num_sub = 42007, num_col= 42017
data dir=, num_sub = 42037, num_col= 42047
data dir=, num_sub = 42087, num_col= 42097
data dir=, num_sub = 42137, num_col= 42147
data dir=, num_sub = 42197, num_col= 42207
data dir=, num_sub = 42227, num_col= 42288
data dir=, num_sub = 42308, num_col= 42348
data dir=, num_sub = 42368, num_col= 42378
data dir=, num_sub = 42398, num_col= 42408
data dir=, num_sub = 42448, num_col= 42458
data dir=, num_sub = 42498, num_col= 42508
data dir=, num_sub = 42558, num_col= 42568
data dir=, num_sub = 42588, num_col= 42649
data dir=, num_sub = 42669, num_col= 42709
data dir=, num_sub = 42729, num_col= 42739
data dir=, num_sub = 42759, num_col= 42769
data dir=, num_sub = 42809, num_col= 42819
data dir=, num_sub = 42859, num_col= 42869
data dir=, num_sub = 42919, num_col= 42929
data dir=, num_sub = 42949, num_col= 43010
data dir=, num_sub = 43030, num_col= 43070
data dir=, num_sub = 43090, num_col= 43100
data dir=, num_sub = 43120, num_col= 43130
data dir=, num_sub = 43170, num_col= 43180
data dir=, num_sub = 43220, num_col= 43230
data dir=, num_sub = 43280, num_col= 43290
data dir=, num_sub = 43310, num_col= 43321
data dir=, num_sub = 43381, num_col= 43391
data dir=, num_sub = 43441, num_col= 43451
data dir=, num_sub = 43471, num_col= 43481
data dir=, num_sub = 43511, num_col= 43521
data dir=, num_sub = 43541, num_col= 43571
data dir=, num_sub = 43591, num_col= 43631
data dir=, num_sub = 43651, num_col= 43661
data dir=, num_sub = 43732, num_col= 43742
data dir=, num_sub = 43792, num_col= 43802
data dir=, num_sub = 43822, num_col= 43832
data dir=, num_sub = 43852, num_col= 43862
data dir=, num_sub = 43882, num_col= 43892
data dir=, num_sub = 43942, num_col= 43952
data dir=, num_sub = 44012, num_col= 44022
data dir=, num_sub = 44093, num_col= 44103
data dir=, num_sub = 44153, num_col= 44163
data dir=, num_sub = 44183, num_col= 44193
data dir=, num_sub = 44213, num_col= 44223
data dir=, num_sub = 44243, num_col= 44253
data dir=, num_sub = 44303, num_col= 44313
data dir=, num_sub = 44373, num_col= 44383
data dir=, num_sub = 44454, num_col= 44464
data dir=, num_sub = 44524, num_col= 44534
data dir=, num_sub = 44554, num_col= 44564
data dir=, num_sub = 44584, num_col= 44594
data dir=, num_sub = 44614, num_col= 44654
data dir=, num_sub = 44674, num_col= 44724
data dir=, num_sub = 44744, num_col= 44754
data dir=, num_sub = 44825, num_col= 44835
data dir=, num_sub = 44895, num_col= 44905
data dir=, num_sub = 44925, num_col= 44935
data dir=, num_sub = 44955, num_col= 44965
data dir=, num_sub = 45015, num_col= 45025
data dir=, num_sub = 45085, num_col= 45095
data dir=, num_sub = 45115, num_col= 45176
data dir=, num_sub = 45196, num_col= 45246
data dir=, num_sub = 45266, num_col= 45276
data dir=, num_sub = 45296, num_col= 45306
data dir=, num_sub = 45326, num_col= 45336
data dir=, num_sub = 45386, num_col= 45396
data dir=, num_sub = 45456, num_col= 45466
data dir=, num_sub = 45537, num_col= 45547
data dir=, num_sub = 45607, num_col= 45617
data dir=, num_sub = 45637, num_col= 45647
data dir=, num_sub = 45667, num_col= 45677
data dir=, num_sub = 45697, num_col= 45737
data dir=, num_sub = 45757, num_col= 45807
data dir=, num_sub = 45827, num_col= 45837
data dir=, num_sub = 45908, num_col= 45918
data dir=, num_sub = 45978, num_col= 45988
data dir=, num_sub = 46008, num_col= 46018
data dir=, num_sub = 46038, num_col= 46048
data dir=, num_sub = 46108, num_col= 46118
data dir=, num_sub = 46178, num_col= 46188
data dir=, num_sub = 46259, num_col= 46269
data dir=, num_sub = 46329, num_col= 46339
data dir=, num_sub = 46359, num_col= 46369
data dir=, num_sub = 46389, num_col= 46399
data dir=, num_sub = 46459, num_col= 46469
data dir=, num_sub = 46539, num_col= 46549
data dir=, num_sub = 46620, num_col= 46630
data dir=, num_sub = 46660, num_col= 46690
data dir=, num_sub = 46710, num_col= 46720
data dir=, num_sub = 46740, num_col= 46750
data dir=, num_sub = 46770, num_col= 46820
data dir=, num_sub = 46890, num_col= 46900
data dir=, num_sub = 46931, num_col= 46981
data dir=, num_sub = 47001, num_col= 47021
data dir=, num_sub = 47061, num_col= 47071
data dir=, num_sub = 47091, num_col= 47101
data dir=, num_sub = 47121, num_col= 47131
data dir=, num_sub = 47191, num_col= 47251
data dir=, num_sub = 47271, num_col= 47342
data dir=, num_sub = 47362, num_col= 47382
data dir=, num_sub = 47422, num_col= 47432
data dir=, num_sub = 47452, num_col= 47462
data dir=, num_sub = 47482, num_col= 47542
data dir=, num_sub = 47612, num_col= 47622
data dir=, num_sub = 47703, num_col= 47713
data dir=, num_sub = 47743, num_col= 47773
data dir=, num_sub = 47793, num_col= 47803
data dir=, num_sub = 47823, num_col= 47833
data dir=, num_sub = 47903, num_col= 47913
data dir=, num_sub = 47983, num_col= 47993
data dir=, num_sub = 48074, num_col= 48084
data dir=, num_sub = 48114, num_col= 48134
data dir=, num_sub = 48154, num_col= 48164
data dir=, num_sub = 48184, num_col= 48194
data dir=, num_sub = 48264, num_col= 48274
data dir=, num_sub = 48354, num_col= 48415
data dir=, num_sub = 48435, num_col= 48445
data dir=, num_sub = 48475, num_col= 48505
data dir=, num_sub = 48525, num_col= 48535
data dir=, num_sub = 48555, num_col= 48565
data dir=, num_sub = 48635, num_col= 48705
data dir=, num_sub = 48776, num_col= 48786
data dir=, num_sub = 48806, num_col= 48826
data dir=, num_sub = 48866, num_col= 48876
data dir=, num_sub = 48896, num_col= 48906
data dir=, num_sub = 48986, num_col= 48996
data dir=, num_sub = 49076, num_col= 49137
data dir=, num_sub = 49157, num_col= 49167
data dir=, num_sub = 49197, num_col= 49227
data dir=, num_sub = 49247, num_col= 49257
data dir=, num_sub = 49277, num_col= 49347
data dir=, num_sub = 49427, num_col= 49437
data dir=, num_sub = 49508, num_col= 49518
data dir=, num_sub = 49548, num_col= 49558
data dir=, num_sub = 49598, num_col= 49608
data dir=, num_sub = 49628, num_col= 49638
data dir=, num_sub = 49708, num_col= 49718
data dir=, num_sub = 49869, num_col= 49879
data dir=, num_sub = 49919, num_col= 49949
